name,tl_x,tl_y,br_x,br_y,capitals,major cities,minor cities
Isle of Quel'Danas,0,0,26,38,1,2,1
Eversong Woods,26,0,84,38,1,4,7
Ghostlands,84,0,148,38,0,0,2
,,,,,,,
Tirisfal Glades,0,38,50,83,1,4,7
Western Plaguelands,50,38,80,83,1,2,0
Eastern Plaguelands,80,38,148,83,1,2,4
,,,,,,,
Silverpine Forest,0,83,40,153,0,3,0
Alterac Mountains,40,83,74,100,1,2,3
Hillsbrad Foothills,40,100,74,153,1,3,0
The Hinterlands,74,83,148,119,1,0,0
Arathi Highlands,74,119,148,153,0,2,0
,,,,,,,
Dun Morogh,0,153,62,228,2,3,0
Wetlands,62,153,148,183,1,0,0
Loch Modan,62,183,148,228,0,1,0
,,,,,,,
Searing Gorge,0,228,80,249,1,1,0
Badlands,80,228,148,249,0,1,0
,,,,,,,
Elwynn Forest,0,249,76,290,1,2,3
Burning Steppes,76,249,148,270,1,2,2
Redridge Mountains,76,270,148,290,1,1,1
,,,,,,,
Westfall,0,290,39,322,0,1,2
Duskwood,39,290,86,322,1,2,0
Deadwind Pass,86,290,105,322,0,1,0
Swamp of Sorrows,105,290,148,322,1,2,0
,,,,,,,
Stranglethorn Vale,0,322,93,364,1,5,0
Blasted Lands,93,322,148,364,0,2,0
