virtual_time,avatar_id,guild,place
0,73295,NO,Orgrimmar
0,13371,NO,Winterspring
0,68115,324,Nagrand
0,1003,281,Karazhan
0,1217,305,Hellfire Peninsula
0,56181,104,Isle of Quel'Danas
0,30968,161,Isle of Quel'Danas
0,22458,358,Alterac Valley
0,22809,174,Shattrath City
0,65046,62,Shattrath City
0,72528,62,Eye of the Storm
0,22087,103,Nagrand
0,5758,5,Thunder Bluff
0,31267,161,Thousand Needles
0,61239,104,Terokkar Forest
0,45536,103,Isle of Quel'Danas
0,22144,101,Shattrath City
0,24603,35,The Mechanar
0,21910,204,Warsong Gulch
0,63071,365,Netherstorm
0,1043,4,Isle of Quel'Danas
0,57942,101,Isle of Quel'Danas
0,73527,282,Thousand Needles
0,39005,315,Orgrimmar
0,72087,103,Undercity
0,69149,342,Undercity
0,855,365,Tirisfal Glades
0,73542,NO,Durotar
0,72858,365,Stranglethorn Vale
0,72757,35,Stranglethorn Vale
0,27821,218,Stranglethorn Vale
0,73617,NO,Mulgore
0,869,365,Scarlet Monastery
0,73614,320,The Barrens
0,72085,174,The Barrens
0,72732,365,The Barrens
0,69795,104,The Hinterlands
0,71346,365,The Hinterlands
0,16820,NO,Thunder Bluff
0,71888,104,Hellfire Peninsula
0,63285,365,Shattrath City
0,69210,343,Terokkar Forest
0,65460,103,Azshara
0,72264,174,Felwood
0,6144,167,Zangarmarsh
0,45141,NO,The Hinterlands
0,64481,35,Blade's Edge Mountains
0,30970,101,Blade's Edge Mountains
0,18758,171,Karazhan
0,155,104,Hellfire Peninsula
0,22500,103,Isle of Quel'Danas
0,62226,250,Isle of Quel'Danas
0,66403,9,Isle of Quel'Danas
0,8762,204,Orgrimmar
0,21879,103,Orgrimmar
0,162,79,Orgrimmar
0,64786,103,Alterac Valley
0,23577,103,Warsong Gulch
0,25061,174,Shattrath City
0,1169,101,Eye of the Storm
0,22541,35,The Mechanar
0,949,161,The Mechanar
0,23267,103,The Mechanar
0,2877,282,Karazhan
0,22484,315,Shadowmoon Valley
0,20770,104,Terokkar Forest
0,127,NO,Isle of Quel'Danas
0,55628,205,Shadowmoon Valley
0,414,290,Warsong Gulch
0,22473,103,Shattrath City
0,71905,103,Shattrath City
0,53308,161,Deadwind Pass
0,23430,104,Arathi Basin
0,22659,101,Blade's Edge Mountains
0,9443,204,Karazhan
0,38774,103,Hellfire Peninsula
0,21940,35,Tanaris
0,26387,106,Isle of Quel'Danas
0,63658,104,Orgrimmar
0,37759,35,Shattrath City
0,32765,104,Shattrath City
0,28187,174,Shattrath City
0,11710,103,Shattrath City
0,9469,53,Shattrath City
0,46110,250,Eye of the Storm
0,63191,103,Terokkar Forest
0,29706,282,Nagrand
0,22462,104,Nagrand
0,7758,79,Tirisfal Glades
0,19600,103,The Mechanar
0,20564,161,The Mechanar
0,23742,104,The Mechanar
0,182,NO,Durotar
0,73582,NO,Durotar
0,73442,NO,Zul'Farrak
0,72433,189,Stranglethorn Vale
0,29795,358,Terokkar Forest
0,72422,101,Zangarmarsh
0,48088,35,Zangarmarsh
0,24749,9,Shattrath City
0,60387,174,Blade's Edge Mountains
0,57939,101,Isle of Quel'Danas
0,28382,161,Isle of Quel'Danas
0,22137,174,Shattrath City
0,22167,NO,Terokkar Forest
0,22154,103,Zangarmarsh
0,22728,250,Shadowmoon Valley
0,37611,282,Eye of the Storm
0,22675,101,Terokkar Forest
0,21943,110,The Mechanar
0,18610,282,Karazhan
0,70865,167,Orgrimmar
0,70921,103,Un'Goro Crater
0,22654,NO,Karazhan
0,27659,174,Hellfire Peninsula
0,24897,6,Orgrimmar
0,28749,103,Eye of the Storm
0,29395,161,The Mechanar
0,22210,204,Isle of Quel'Danas
0,21032,205,Nagrand
0,19508,161,Nagrand
0,72863,315,Thousand Needles
0,32253,NO,Orgrimmar
0,28137,240,Undercity
0,23746,358,Undercity
0,53419,365,Swamp of Sorrows
0,73607,NO,Tirisfal Glades
0,73605,NO,Tirisfal Glades
0,54432,NO,Tirisfal Glades
0,73456,NO,Ashenvale
0,832,NO,Stranglethorn Vale
0,69336,161,Hellfire Peninsula
0,23668,115,Hellfire Peninsula
0,60220,NO,Hellfire Peninsula
0,70742,365,Orgrimmar
0,71691,161,Un'Goro Crater
0,72827,251,Coilfang: The Slave Pens
0,35002,358,Blade's Edge Mountains
0,60283,161,Nagrand
0,27347,189,Netherstorm
0,66182,NO,Karazhan
0,22760,174,Isle of Quel'Danas
0,22322,101,Undercity
0,28365,161,Shadowmoon Valley
0,354,5,Shattrath City
0,71204,205,Shattrath City
0,31647,103,Shattrath City
0,22625,101,Shattrath City
0,22995,161,Eye of the Storm
0,68587,161,Deadwind Pass
0,11589,189,Blade's Edge Mountains
0,63242,101,Hellfire Peninsula
0,1513,5,Isle of Quel'Danas
0,64346,4,Isle of Quel'Danas
0,1784,161,Swamp of Sorrows
0,23482,53,Shattrath City
0,52751,35,Shattrath City
0,32550,35,Shattrath City
0,38499,35,Shattrath City
0,30782,35,Eye of the Storm
0,5085,103,Zangarmarsh
0,73051,103,Arathi Basin
0,68261,79,Blade's Edge Mountains
0,18145,103,Karazhan
0,27595,104,Shattrath City
0,388,104,Shattrath City
0,22357,35,Shattrath City
0,33670,NO,Shattrath City
0,21950,174,Eye of the Storm
0,4858,104,Nagrand
0,22519,101,Nagrand Arena
0,59139,161,Deadwind Pass
0,46004,103,The Mechanar
0,25994,35,Karazhan
0,64214,282,Karazhan
0,36792,282,Hellfire Peninsula
0,21976,103,Isle of Quel'Danas
0,22440,103,Isle of Quel'Danas
